"","x_1","x_2","x_3","x_4","x_5","x_6","x_7","A","B","mk_pvalue","S","Class"
"124",18673,19650,18549,22322,24473,23633,18987,529.714285714287,18779.2857142857,0.367520738242143,7,"None"
"125",19650,18549,22322,24473,23633,18987,17435,-159.214285714285,21358.1428571429,0.76389059347054,-3,"None"
"126",18549,22322,24473,23633,18987,17435,21503,-228.499999999999,21900,0.76389059347054,-3,"None"
"127",22322,24473,23633,18987,17435,21503,19845,-698.892857142856,23966.7142857143,0.22955621387892,-9,"None"
"128",24473,23633,18987,17435,21503,19845,21649,-483.285714285713,23008.1428571429,0.548005572361309,-5,"None"
"129",23633,18987,17435,21503,19845,21649,25400,465.535714285714,19345.2857142857,0.367520738242143,7,"None"
"130",18987,17435,21503,19845,21649,25400,21160,806.964285714286,17626.2857142857,0.13312848419606,11,"None"
"131",17435,21503,19845,21649,25400,21160,17916,225.428571428572,19799.4285714286,0.76389059347054,3,"None"
"132",21503,19845,21649,25400,21160,17916,17637,-569.464285714284,23007.8571428571,0.22955621387892,-9,"None"
"133",19845,21649,25400,21160,17916,17637,18384,-710.392857142856,23126,0.22955621387892,-9,"None"
"134",21649,25400,21160,17916,17637,18384,21110,-684.714285714285,23204,0.22955621387892,-9,"None"
"135",25400,21160,17916,17637,18384,21110,23133,-229.75,21596.1428571429,1,-1,"None"
"136",21160,17916,17637,18384,21110,23133,24866,893.75,17025.8571428571,0.13312848419606,11,"None"
"137",17916,17637,18384,21110,23133,24866,25208,1467.25,15310.1428571429,0.00686379498544904,19,"Positive"
"138",17637,18384,21110,23133,24866,25208,18948,762.035714285717,18278.4285714286,0.0715054164448745,13,"None"
"139",18384,21110,23133,24866,25208,18948,19819,73.4285714285725,21344.5714285714,0.548005572361309,5,"None"
"140",21110,23133,24866,25208,18948,19819,23670,-173.785714285713,23088.5714285714,1,1,"None"
"141",23133,24866,25208,18948,19819,23670,27064,143.285714285715,22670.8571428571,0.548005572361309,5,"None"
"142",24866,25208,18948,19819,23670,27064,28525,693.250000000001,21241.2857142857,0.22955621387892,9,"None"
"143",25208,18948,19819,23670,27064,28525,31563,1623.71428571429,18476.1428571429,0.0354981313206625,15,"Positive"
"144",18948,19819,23670,27064,28525,31563,32270,2439.60714285714,16221.4285714286,0.0026666817936141,21,"Positive"
"145",19819,23670,27064,28525,31563,32270,25148,1345.92857142857,21481.8571428571,0.0715054164448745,13,"None"
"146",23670,27064,28525,31563,32270,25148,32150,905.464285714286,25005.2857142857,0.13312848419606,11,"None"
"147",27064,28525,31563,32270,25148,32150,37077,1102.64285714286,26131.8571428572,0.13312848419606,11,"None"
"148",28525,31563,32270,25148,32150,37077,35874,1176.96428571429,27093.1428571429,0.13312848419606,11,"None"
"149",31563,32270,25148,32150,37077,35874,40319,1621.60714285714,26999.4285714286,0.0715054164448745,13,"None"
"150",32270,25148,32150,37077,35874,40319,45993,2686.96428571429,24799.4285714286,0.0354981313206625,15,"Positive"
"151",25148,32150,37077,35874,40319,45993,41346,2840.07142857143,25483.5714285714,0.0162609367804503,17,"Positive"
"152",32150,37077,35874,40319,45993,41346,40731,1585.71428571429,32727.1428571429,0.0715054164448745,13,"None"
"153",37077,35874,40319,45993,41346,40731,41282,834.142857142859,37038,0.22955621387892,9,"None"
"154",35874,40319,45993,41346,40731,41282,46431,1011.96428571429,37663,0.13312848419606,11,"None"
"155",40319,45993,41346,40731,41282,46431,51819,1261.14285714286,38944.1428571428,0.13312848419606,11,"None"
"156",45993,41346,40731,41282,46431,51819,56628,2091.10714285714,37954.1428571429,0.13312848419606,11,"None"
"157",41346,40731,41282,46431,51819,56628,51360,2584.75,36746.2857142857,0.0715054164448745,13,"None"
"158",40731,41282,46431,51819,56628,51360,45682,1614.5,41246.7142857143,0.22955621387892,9,"None"
"159",41282,46431,51819,56628,51360,45682,50769,946.571428571432,45352.4285714286,0.76389059347054,3,"None"
"160",46431,51819,56628,51360,45682,50769,43084,-824.535714285713,52694.2857142857,0.22955621387892,-9,"None"
"161",51819,56628,51360,45682,50769,43084,60654,-41.9285714285687,51595.7142857143,0.548005572361309,-5,"None"
"162",56628,51360,45682,50769,43084,60654,60120,945.214285714288,48833,1,1,"None"
"163",51360,45682,50769,43084,60654,60120,62496,2577.46428571429,43142.2857142857,0.22955621387892,9,"None"
"164",45682,50769,43084,60654,60120,62496,68055,3843.17857142857,40464.4285714286,0.0354981313206625,15,"Positive"
"165",50769,43084,60654,60120,62496,68055,60018,2840.39285714286,46523.5714285714,0.22955621387892,9,"None"
"166",43084,60654,60120,62496,68055,60018,58453,1884.64285714286,51444.2857142857,1,1,"None"
"167",60654,60120,62496,68055,60018,58453,58894,-396.142857142856,62826,0.22955621387892,-9,"None"
"168",60120,62496,68055,60018,58453,58894,68035,247.821428571429,61304.5714285714,0.76389059347054,-3,"None"
