"","x14","x13","x12","x11","x10","x9","x8","x7","x6","x5","x4","x3","x2","x1","A","B","mk_pvalue","S","Class"
"131",17435,21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,188.887912087912,19597.1978021978,0.324423690521579,19,"None"
"132",21503,19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,36.7648351648348,20908.4065934066,1,1,"None"
"133",19845,21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,118.301098901098,20451.6703296703,0.584070366945506,11,"None"
"134",21649,25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,232.624175824176,20109.8901098901,0.273561411724749,21,"None"
"135",25400,21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,416.430769230769,19222.4835164835,0.0626981162609826,35,"None"
"136",21160,17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,780.472527472527,16932.3846153846,0.00217151028878612,57,"Positive"
"137",17916,17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,997.843956043956,16095.6703296703,0.000197140740496392,69,"Positive"
"138",17637,18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,855.94945054945,17676.4505494506,0.00102093399997058,61,"Positive"
"139",18384,21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,873.125274725274,18584.2747252747,0.00149731387847716,59,"Positive"
"140",21110,23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,991.905494505495,19028.6373626374,0.00149731387847716,59,"Positive"
"141",23133,24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,1084.01538461538,19392.3846153846,0.00102093399997058,61,"Positive"
"142",24866,25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,1304.92087912088,18963.1648351648,0.000458888528726883,65,"Positive"
"143",25208,18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,1669.52967032967,17737.6703296703,0.000127032217098857,71,"Positive"
"144",18948,19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,1819.77582417582,17763.5384615385,3.17396401376735e-05,77,"Positive"
"145",19819,23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,1675.14065934066,20404.2307692308,8.0929046398655e-05,73,"Positive"
"146",23670,27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,1479.21318681319,23406.7582417582,0.000197140740496392,69,"Positive"
"147",27064,28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,1463.01318681319,25154.043956044,0.000197140740496392,69,"Positive"
"148",28525,31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,1612.5978021978,25800.3736263736,0.000127032217098857,71,"Positive"
"149",31563,32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,56628,1838.93406593407,26110.2087912088,8.0929046398655e-05,73,"Positive"
"150",32270,25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,56628,51360,1891.38021978022,27130.9340659341,0.000127032217098857,71,"Positive"
"151",25148,32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,56628,51360,45682,1717.88571428571,29390.1428571429,0.000458888528726883,65,"Positive"
"152",32150,37077,35874,40319,45993,41346,40731,41282,46431,51819,56628,51360,45682,50769,1395.98901098901,33634.4395604396,0.00149731387847716,59,"Positive"
"153",37077,35874,40319,45993,41346,40731,41282,46431,51819,56628,51360,45682,50769,43084,972.736263736263,37589.8351648352,0.0160061551531633,45,"None"
"154",35874,40319,45993,41346,40731,41282,46431,51819,56628,51360,45682,50769,43084,60654,1165.85054945055,37825.5494505495,0.011793457077065,47,"None"
"155",40319,45993,41346,40731,41282,46431,51819,56628,51360,45682,50769,43084,60654,60120,1200.41318681319,39298.1868131868,0.0160061551531633,45,"None"
"156",45993,41346,40731,41282,46431,51819,56628,51360,45682,50769,43084,60654,60120,62496,1342.82417582417,39814.1758241758,0.0160061551531633,45,"None"
"157",41346,40731,41282,46431,51819,56628,51360,45682,50769,43084,60654,60120,62496,68055,1733.63736263736,38458.9340659341,0.00311430753155509,55,"Positive"
"158",40731,41282,46431,51819,56628,51360,45682,50769,43084,60654,60120,62496,68055,60018,1644.64835164835,40460.065934066,0.00619562249890606,51,"Positive"
"159",41282,46431,51819,56628,51360,45682,50769,43084,60654,60120,62496,68055,60018,58453,1408.5956043956,43496.3186813187,0.0285390635703624,41,"None"
"160",46431,51819,56628,51360,45682,50769,43084,60654,60120,62496,68055,60018,58453,58894,1125.40879120879,46878.2197802198,0.100518173207465,31,"None"
"161",51819,56628,51360,45682,50769,43084,60654,60120,62496,68055,60018,58453,58894,68035,1195.72527472527,47893.989010989,0.0798019286423907,33,"None"
"162",56628,51360,45682,50769,43084,60654,60120,62496,68055,60018,58453,58894,68035,68121,1351.16263736264,47892.6373626374,0.0285390635703624,41,"None"
"163",51360,45682,50769,43084,60654,60120,62496,68055,60018,58453,58894,68035,68121,75819,1813.42417582418,45796.4615384615,0.00859504637602393,49,"Positive"
"164",45682,50769,43084,60654,60120,62496,68055,60018,58453,58894,68035,68121,75819,72262,1916.03076923077,46519.9120879121,0.00441702133568098,53,"Positive"
"165",50769,43084,60654,60120,62496,68055,60018,58453,58894,68035,68121,75819,72262,62537,1461.71648351648,51131.1978021978,0.0160061551531633,45,"None"
