time;inc_acu;inc_dia;inc_mm7
02/02/2021;9283418;54096;51132.71429
02/03/2021;9339420;56002;50008.85714
02/04/2021;9396293;56873;48934.85714
02/05/2021;9447165;50872;48229.42857
02/06/2021;9447165;0;46950.28571
02/07/2021;9524640;77475;38598.57143
02/08/2021;9524640;0;45701.28571
02/09/2021;9599565;74925;42188.28571
02/10/2021;9659167;59602;45163.85714
02/11/2021;9713909;54742;45678.14286
02/12/2021;9765455;51546;45373.71429
2/13/21;9809754;44299;45470
2/14/21;9834513;24759;51798.42857
2/15/21;9866710;32197;44267.57143
2/16/21;9921981;55271;48867.14286
2/17/21;9978747;56766;46059.42857
2/18/21;10030626;51879;45654.28571
2/19/21;10084208;53582;45245.28571
2/20/21;10139148;54940;45536.14286
2/21/21;10168174;29026;47056.28571
2/22/21;10195160;26986;47665.85714
2/23/21;10257875;62715;46921.42857
2/24/21;10324463;66588;47984.85714
2/25/21;10390461;65998;49388
2/26/21;10455630;65169;51405
2/27/21;10517232;61602;53060.28571
2/28/21;10551259;34027;54012
03/01/2021;10587001;35742;54726.42857
03/02/2021;10646926;59925;55977.28571
03/03/2021;10718630;71704;55578.71429
03/04/2021;10793732;75102;56309.57143
03/05/2021;10869227;75495;57610.14286
03/06/2021;10938836;69609;59085.28571
03/07/2021;11019344;80508;60229.14286
03/08/2021;11051665;32321;66869.28571
03/09/2021;11122429;70764;66380.57143
03/10/2021;11202305;79876;67929
03/11/2021;11277717;75412;69096.42857
03/12/2021;11363380;85663;69140.71429
3/13/21;11439558;76178;70593.28571
3/14/21;11483370;43812;71531.71429
3/15/21;11519609;36239;66289.42857
3/16/21;11603535;83926;66849.14286
3/17/21;11693838;90303;68729.42857
3/18/21;11780820;86982;70219
3/19/21;11871390;90570;71871.85714
